city,product_type,status,request_time,begin_trip_time,begintrip_lat,begintrip_lng,begintrip_address,dropoff_time,dropoff_lat,dropoff_lng,dropoff_address,distance,fare_currency,fare_amount
Nairobi,uberCHAPCHAP,completed,2025-05-10T17:26:45.000Z,2025-05-10T17:35:07.000Z,-1.28444,36.823067,"12 Standard St, Nairobi, Kenya",2025-05-10T17:53:48.000Z,-1.2204098,36.881382,"Mirema Road, Nairobi, Kenya",7.38,Kenyan Shilling,580.0
Nairobi,Uber X,failed,2025-05-09T20:19:49.000Z,,-1.2937944,36.793827,"",,-1.2937944,36.793827,"Mirema Road, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,Uber X,rider_canceled,2025-05-09T20:17:20.000Z,,-1.2937944,36.793827,"",,-1.2937944,36.793827,"Mirema Road, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,uberCHAPCHAP,completed,2025-04-22T15:49:28.000Z,2025-04-22T16:06:14.000Z,-1.2327733,36.877853,"72-01000 Commercial St, Thika, Kenya",2025-04-22T16:16:38.000Z,-1.2203788,36.881405,,2.09,Kenyan Shilling,260.0
Nairobi,Boda,completed,2025-04-20T15:41:14.000Z,2025-04-20T15:47:28.000Z,-1.2917953,36.78584,"Wood Ave, Nairobi, Kenya",2025-04-20T15:51:04.000Z,-1.2939918,36.793846,"Near Yaya Center, Argwings Kodhek Rd, Nairobi, Kenya",0.62,Kenyan Shilling,90.0
Nairobi,uberCHAPCHAP,failed,2025-04-20T06:49:14.000Z,,-1.2204132,36.881424,"",,-1.2204132,36.881424,"Argwings Kodhek Rd, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,uberCHAPCHAP,completed,2025-04-18T10:01:07.000Z,2025-04-18T10:05:35.000Z,-1.2203275,36.88146,"Mirema Road, Nairobi, Kenya",2025-04-18T10:29:02.000Z,-1.2929176,36.79036,"Argwings Kodhek Rd, Nairobi, Kenya",11.21,Kenyan Shilling,760.0
Nairobi,uberXL,failed,2024-12-07T19:58:22.000Z,,-1.2204047,36.88142,"",,-1.2204047,36.88142,"Embakasi, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,uberCHAPCHAP,rider_canceled,2024-12-07T17:41:38.000Z,,-1.2869757,36.80915,"",,-1.2869757,36.80915,"QVJH+9H, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,uberCHAPCHAP,completed,2024-12-07T14:50:57.000Z,2024-12-07T15:02:54.000Z,-1.2196517,36.879288,"QVJH+9H, Nairobi, Kenya",2024-12-07T16:13:54.000Z,-1.286321,36.80912,"45198-00100 GPO, State House Avenue, Nairobi, Kenya",10.03,Kenyan Shilling,870.0
Nairobi,uberCHAPCHAP,rider_canceled,2024-12-07T14:50:19.000Z,,-1.2204047,36.88142,"",,-1.2204047,36.88142,"45198-00100 GPO, State House Avenue, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,uberCHAPCHAP,completed,2024-12-06T23:37:06.000Z,2024-12-06T23:44:00.000Z,-1.2185249,36.886475,"TRM Dr, Nairobi, Kenya",2024-12-06T23:49:34.000Z,-1.2202315,36.880898,"QVJH+9H, Nairobi, Kenya",0.58,Kenyan Shilling,220.0
Nairobi,uberCHAPCHAP,completed,2024-12-06T15:00:41.000Z,2024-12-06T15:20:46.000Z,-1.2919011,36.786037,"Wood Ave, Nairobi, Kenya",2024-12-06T16:29:49.000Z,-1.221039,36.883152,"USIU Rd, Nairobi, Kenya",10.06,Kenyan Shilling,850.0
Nairobi,uberCHAPCHAP,completed,2024-12-06T09:05:35.000Z,2024-12-06T09:14:27.000Z,-1.2204427,36.881443,"Mirema Road, Nairobi, Kenya",2024-12-06T10:09:02.000Z,-1.2918856,36.78578,"Wood Ave, Nairobi, Kenya",11.4,Kenyan Shilling,920.0
Nairobi,Boda,rider_canceled,2024-12-06T08:49:34.000Z,,-1.2204047,36.88142,"",,-1.2204047,36.88142,"Wood Ave, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,Boda,rider_canceled,2024-12-06T08:45:41.000Z,,-1.2204047,36.88142,"",,-1.2204047,36.88142,"Wood Ave, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,uberCHAPCHAP,completed,2024-11-16T20:19:27.000Z,2024-11-16T20:35:45.000Z,-1.27424,36.799053,"Ring Road Kileleshwa, Nairobi, Kenya",2024-11-16T20:55:14.000Z,-1.2203583,36.88138,"QVJH+9H, Nairobi, Kenya",8.65,Kenyan Shilling,620.0
Nairobi,uberCHAPCHAP,rider_canceled,2024-11-07T17:18:50.000Z,,-1.232828,36.877956,"",,-1.232828,36.877956,"Unnamed Road, QVPH+CXR, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,uberCHAPCHAP,rider_canceled,2024-11-07T17:05:08.000Z,,-1.232828,36.877956,"",,-1.232828,36.877956,"Unnamed Road, QVPH+CXR, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,uberCHAPCHAP,completed,2024-11-07T16:53:26.000Z,2024-11-07T17:00:06.000Z,-1.2328717,36.878006,"Peponi Rd, Nairobi, Kenya",2024-11-07T17:03:05.000Z,-1.2354262,36.87322,"Nairobi, Kenya",0.43,Kenyan Shilling,220.0
Nairobi,uberCHAPCHAP,rider_canceled,2024-11-07T16:50:40.000Z,,-1.232828,36.877956,"",,-1.232828,36.877956,"Unnamed Road, QVPH+CXR, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
